Id,actualvalues,predictedvalues
2814F.wav,FA,MA
2815M.wav,MN,FN
2816F.wav,FA,FA
2817M.wav,MS,MN
2818F.wav,FH,MA
2819M.wav,MH,MN
2820F.wav,FN,MA
2821M.wav,MN,MN
2822F.wav,FS,FA
2823M.wav,MA,MA
2825F.wav,FA,FA
2826F.wav,FS,FN
2827F.wav,FA,FA
2828F.wav,FS,MA
2830F.wav,FA,FN
2831M.wav,MN,MN
2834M.wav,MN,MN
2835M.wav,MN,MN
2836F.wav,FN,FN
2837M.wav,MN,MN
2838F.wav,FA,FA
2839F.wav,FA,FA
2841M.wav,MN,MN
2844F.wav,FN,FN
2845M.wav,MA,FS
2850M.wav,MN,MA
2851M.wav,MA,MN
2852M.wav,MN,MN
2854F.wav,FA,FA
2856M.wav,MN,MN
2857F.wav,FS,MS
2858F.wav,FN,FN
2859M.wav,MA,MA
2860F.wav,FN,FN
2861F.wav,FS,FA
2862M.wav,MW,MN
2863M.wav,MN,FN
2865F.wav,FA,FA
2866M.wav,MN,MN
2868M.wav,MH,MA
2871M.wav,MN,MN
2873F.wav,FN,MN
2874M.wav,MH,MN
2875F.wav,FA,MA
2876F.wav,FW,FA
2877M.wav,MN,MN
2878F.wav,FN,FN
2879M.wav,MA,MA
2880M.wav,MN,MN
2882M.wav,MA,MA
2884M.wav,MS,MS
2887F.wav,FS,FN
2888M.wav,MN,MN
2889M.wav,MH,MA
2890M.wav,MN,MN
2891F.wav,FN,FN
2892F.wav,FA,FA
2893M.wav,MN,MN
2895M.wav,MN,MN
2896F.wav,FH,FS
2897M.wav,MN,MN
2898M.wav,MN,MN
2900M.wav,MN,MN
2901F.wav,FA,FA
2902F.wav,FS,FA
2903M.wav,MN,MN
2904M.wav,MN,MN
2905F.wav,FN,FA
2906M.wav,MA,MA
2909M.wav,MN,MN
2911F.wav,FH,FA
2912M.wav,MA,MA
2913M.wav,MA,MA
2914M.wav,MA,MA
2915M.wav,MN,MA
2917F.wav,FH,FN
2919F.wav,FA,FA
2920M.wav,MH,MA
2921M.wav,MA,MA
2922M.wav,MA,MA
2923M.wav,MN,MN
2925F.wav,FA,MA
2926M.wav,MN,MN
2927M.wav,MW,FS
2928F.wav,FN,MN
2929F.wav,FN,FN
2932M.wav,MN,MN
2933M.wav,MA,MN
2934F.wav,FA,FA
2936M.wav,MN,MN
2938F.wav,FA,FA
2939M.wav,MN,MN
2940F.wav,FA,FA
2941M.wav,MA,FN
2942M.wav,MH,MN
2943F.wav,FA,FA
2944M.wav,MN,MN
2946M.wav,MN,MN
2947M.wav,MN,MN
2948F.wav,FW,FA
2949M.wav,MA,MA
2951M.wav,MA,MA
2952F.wav,FW,FA
2953F.wav,FN,FS
2954M.wav,MH,MN
2955M.wav,MN,MN
2956M.wav,MN,MA
2957M.wav,MA,MA
2958M.wav,MN,MN
2960M.wav,MH,MA
2961M.wav,MN,MN
2962M.wav,MA,MA
2963M.wav,MN,MN
2964F.wav,FW,FA
2965M.wav,MW,MN
2966F.wav,FH,FA
2967M.wav,MN,MA
2968F.wav,FN,FN
2969M.wav,MN,MN
2970M.wav,MN,MA
2971M.wav,MA,MA
2972F.wav,FS,FS
2973M.wav,MN,MA
2975M.wav,MA,MN
2976M.wav,MA,MA
2977M.wav,MN,MA
2978F.wav,FN,MN
2979M.wav,MA,MA
2980M.wav,MA,MA
2981M.wav,MN,MN
2982M.wav,MW,MN
2983M.wav,MN,MN
2985F.wav,FN,FN
2986M.wav,MW,MA
2987F.wav,FN,FN
2988M.wav,MA,MA
2989M.wav,MN,MN
2990F.wav,FS,FS
2992M.wav,MS,MS
2993M.wav,MN,MN
2995M.wav,MN,FN
2996F.wav,FW,FN
2999M.wav,MH,MN
